"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"ctx-lh-lateraloccipital","AROMA+2P",55.42,"7.73e-02","1.79e-01","i: ROI-wise"
"ctx-rh-bankssts","AROMA+2P",54.99,"7.73e-02","1.79e-01","i: ROI-wise"
"ctx-rh-posteriorcingulate","AROMA+2P",54.4,"1.44e-01","2.84e-01","i: ROI-wise"
"Right-Hippocampus","AROMA+2P",54.4,"1.44e-01","2.84e-01","i: ROI-wise"
"ctx-rh-frontalpole","AROMA+2P",54.03,"1.44e-01","2.84e-01","i: ROI-wise"
"ctx-lh-paracentral","AROMA+2P",53.58,"1.44e-01","2.84e-01","i: ROI-wise"
"ctx-rh-inferiorparietal","AROMA+2P",53.51,"1.44e-01","2.84e-01","i: ROI-wise"
"ctx-lh-frontalpole","AROMA+2P",53.13,"2.42e-01","3.97e-01","i: ROI-wise"
"Left-Hippocampus","AROMA+2P",53.03,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-entorhinal","AROMA+2P",52.92,"2.42e-01","3.97e-01","i: ROI-wise"
"Left-Thalamus-Proper","AROMA+2P",52.79,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-rh-rostralmiddlefrontal","AROMA+2P",52.78,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-rh-rostralanteriorcingulate","AROMA+2P",52.75,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-middletemporal","AROMA+2P",52.55,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-caudalanteriorcingulate","AROMA+2P",52.45,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-pericalcarine","AROMA+2P",52.27,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-rostralmiddlefrontal","AROMA+2P",52.17,"2.42e-01","3.97e-01","i: ROI-wise"
"Right-Amygdala","AROMA+2P",52.14,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-lingual","AROMA+2P",52.05,"2.42e-01","3.97e-01","i: ROI-wise"
"ctx-lh-posteriorcingulate","AROMA+2P",52.02,"2.42e-01","3.97e-01","i: ROI-wise"
"Right-Caudate","AROMA+2P",51.77,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-rh-paracentral","AROMA+2P",51.51,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-superiorparietal","AROMA+2P",51.45,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-superiortemporal","AROMA+2P",51.45,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-precuneus","AROMA+2P",51.39,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-rh-medialorbitofrontal","AROMA+2P",51.3,"3.69e-01","5.13e-01","i: ROI-wise"
"Right-Putamen","AROMA+2P",51.15,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-superiorfrontal","AROMA+2P",51.07,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-rh-cuneus","AROMA+2P",50.97,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-inferiorparietal","AROMA+2P",50.87,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-supramarginal","AROMA+2P",50.55,"3.69e-01","5.13e-01","i: ROI-wise"
"ctx-lh-precentral","AROMA+2P",50.47,"5.13e-01","6.54e-01","i: ROI-wise"
"ctx-rh-parahippocampal","AROMA+2P",50.4,"5.13e-01","6.54e-01","i: ROI-wise"
"ctx-rh-parsorbitalis","AROMA+2P",50.06,"5.13e-01","6.54e-01","i: ROI-wise"
"Right-Thalamus-Proper","AROMA+2P",49.86,"5.13e-01","6.54e-01","i: ROI-wise"
"ctx-rh-temporalpole","AROMA+2P",49.7,"5.13e-01","6.54e-01","i: ROI-wise"
"ctx-rh-precentral","AROMA+2P",49.67,"5.13e-01","6.54e-01","i: ROI-wise"
"ctx-lh-parstriangularis","AROMA+2P",48.76,"6.57e-01","7.73e-01","i: ROI-wise"
"ctx-lh-parsorbitalis","AROMA+2P",48.55,"6.57e-01","7.73e-01","i: ROI-wise"
"ctx-lh-transversetemporal","AROMA+2P",48.42,"6.57e-01","7.73e-01","i: ROI-wise"
"Left-Pallidum","AROMA+2P",48.03,"6.57e-01","7.73e-01","i: ROI-wise"
"ctx-lh-caudalmiddlefrontal","AROMA+2P",47.97,"6.57e-01","7.73e-01","i: ROI-wise"
"ctx-rh-lingual","AROMA+2P",47.88,"6.57e-01","7.73e-01","i: ROI-wise"
"ctx-rh-pericalcarine","AROMA+2P",47.55,"7.82e-01","8.51e-01","i: ROI-wise"
"Left-Amygdala","AROMA+2P",46.77,"7.82e-01","8.51e-01","i: ROI-wise"
"ctx-lh-parsopercularis","AROMA+2P",46.42,"7.82e-01","8.51e-01","i: ROI-wise"
"ctx-rh-parsopercularis","AROMA+2P",46.38,"7.82e-01","8.51e-01","i: ROI-wise"
"ctx-rh-superiortemporal","AROMA+2P",45.86,"8.76e-01","9.22e-01","i: ROI-wise"
"Left-Putamen","AROMA+2P",45.34,"8.76e-01","9.22e-01","i: ROI-wise"
"ctx-rh-fusiform","AROMA+2P",44.7,"9.38e-01","9.62e-01","i: ROI-wise"
"Left-Caudate","AROMA+2P",43.49,"9.38e-01","9.62e-01","i: ROI-wise"
"ctx-rh-inferiortemporal","AROMA+2P",42.7,"9.73e-01","9.89e-01","i: ROI-wise"
"Left-Accumbens-area","AROMA+2P",40.7,"9.90e-01","9.97e-01","i: ROI-wise"
"ctx-rh-caudalmiddlefrontal","AROMA+2P",39.55,"9.97e-01","9.97e-01","i: ROI-wise"
