"Study","Disorder","Analysis","Model name","Age and Sex","BOLD Features","Age, Sex, and BOLD Features"
"UCLA_CNP","BP","catch25_feature","outlier_timing_neg",61.6,53.2,56.4
"UCLA_CNP","BP","catch25_feature","outlier_timing_pos",61.6,53.3,57.2
"UCLA_CNP","BP","catch25_feature","SD",61.6,57.3,59.5
"UCLA_CNP","BP","catch25_feature","whiten_timescale",61.6,51.8,50.8
"UCLA_CNP","BP","catch25_feature","forecast_error",61.6,60.2,58.9
"UCLA_CNP","BP","catch25_feature","AMI_timescale",61.6,59,60.6
"UCLA_CNP","BP","Brain_Region","Left-Accumbens-area",61.6,51.7,51.4
"UCLA_CNP","BP","Brain_Region","Left-Amygdala",61.6,48.7,50.9
"UCLA_CNP","BP","Brain_Region","Left-Caudate",61.6,65.2,62.8
"UCLA_CNP","BP","Brain_Region","Left-Hippocampus",61.6,62,60.1
"UCLA_CNP","BP","Brain_Region","Left-Pallidum",61.6,57.8,56.8
"UCLA_CNP","BP","Brain_Region","Left-Putamen",61.6,56,55
"UCLA_CNP","BP","Brain_Region","Left-Thalamus-Proper",61.6,65.1,63.7
"UCLA_CNP","BP","catch25_feature","high_fluctuation",61.6,54.9,56.4
"UCLA_CNP","BP","catch25_feature","periodicity",61.6,59.1,60.4
"UCLA_CNP","BP","Brain_Region","Right-Accumbens-area",61.6,48.2,53.8
"UCLA_CNP","BP","Brain_Region","Right-Amygdala",61.6,55.9,55.4
"UCLA_CNP","BP","Brain_Region","Right-Caudate",61.6,56.1,56
"UCLA_CNP","BP","Brain_Region","Right-Hippocampus",61.6,67.4,66
"UCLA_CNP","BP","Brain_Region","Right-Pallidum",61.6,55.6,57.9
"UCLA_CNP","BP","Brain_Region","Right-Putamen",61.6,56.4,54.9
"UCLA_CNP","BP","Brain_Region","Right-Thalamus-Proper",61.6,60.8,60.7
"UCLA_CNP","BP","catch25_feature","stretch_decreasing",61.6,55.1,57.4
"UCLA_CNP","BP","catch25_feature","stretch_high",61.6,57.2,56.6
"UCLA_CNP","BP","catch25_feature","entropy_pairs",61.6,57.6,56.3
"UCLA_CNP","BP","catch25_feature","transition_variance",61.6,55.6,55.8
"UCLA_CNP","BP","catch25_feature","DFA",61.6,49.3,53.7
"UCLA_CNP","BP","catch25_feature","rs_range",61.6,48.9,48.7
"UCLA_CNP","BP","catch25_feature","low_freq_power",61.6,57.9,58.6
"UCLA_CNP","BP","catch25_feature","centroid_freq",61.6,56,55.3
"UCLA_CNP","BP","Brain_Region","ctx-lh-bankssts",61.6,54.8,54.9
"UCLA_CNP","BP","Brain_Region","ctx-lh-caudalanteriorcingulate",61.6,48.9,54.1
"UCLA_CNP","BP","Brain_Region","ctx-lh-caudalmiddlefrontal",61.6,58.8,53.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-cuneus",61.6,52.6,53.9
"UCLA_CNP","BP","Brain_Region","ctx-lh-entorhinal",61.6,53.6,55.5
"UCLA_CNP","BP","Brain_Region","ctx-lh-frontalpole",61.6,56.9,55.9
"UCLA_CNP","BP","Brain_Region","ctx-lh-fusiform",61.6,59.2,60.4
"UCLA_CNP","BP","Brain_Region","ctx-lh-inferiorparietal",61.6,62.3,64.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-inferiortemporal",61.6,57.9,55.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-insula",61.6,54,55.5
"UCLA_CNP","BP","Brain_Region","ctx-lh-isthmuscingulate",61.6,59.7,60.8
"UCLA_CNP","BP","Brain_Region","ctx-lh-lateraloccipital",61.6,58.4,57.8
"UCLA_CNP","BP","Brain_Region","ctx-lh-lateralorbitofrontal",61.6,60.1,59.2
"UCLA_CNP","BP","Brain_Region","ctx-lh-lingual",61.6,51.6,54.4
"UCLA_CNP","BP","Brain_Region","ctx-lh-medialorbitofrontal",61.6,55.7,54.3
"UCLA_CNP","BP","Brain_Region","ctx-lh-middletemporal",61.6,51.7,53.8
"UCLA_CNP","BP","Brain_Region","ctx-lh-paracentral",61.6,59.6,62.5
"UCLA_CNP","BP","Brain_Region","ctx-lh-parahippocampal",61.6,54.9,55.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-parsopercularis",61.6,60.9,60.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-parsorbitalis",61.6,47.6,47.6
"UCLA_CNP","BP","Brain_Region","ctx-lh-parstriangularis",61.6,47.6,49.2
"UCLA_CNP","BP","Brain_Region","ctx-lh-pericalcarine",61.6,54.3,56.4
"UCLA_CNP","BP","Brain_Region","ctx-lh-postcentral",61.6,62.9,64.2
"UCLA_CNP","BP","Brain_Region","ctx-lh-posteriorcingulate",61.6,54.3,53.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-precentral",61.6,59,57
"UCLA_CNP","BP","Brain_Region","ctx-lh-precuneus",61.6,57.9,58
"UCLA_CNP","BP","Brain_Region","ctx-lh-rostralanteriorcingulate",61.6,55.2,56.4
"UCLA_CNP","BP","Brain_Region","ctx-lh-rostralmiddlefrontal",61.6,50.4,47.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-superiorfrontal",61.6,52,54.7
"UCLA_CNP","BP","Brain_Region","ctx-lh-superiorparietal",61.6,59,59.3
"UCLA_CNP","BP","Brain_Region","ctx-lh-superiortemporal",61.6,53.6,57.2
"UCLA_CNP","BP","Brain_Region","ctx-lh-supramarginal",61.6,52.6,53.6
"UCLA_CNP","BP","Brain_Region","ctx-lh-temporalpole",61.6,58.3,59.3
"UCLA_CNP","BP","Brain_Region","ctx-lh-transversetemporal",61.6,56.7,58
"UCLA_CNP","BP","Brain_Region","ctx-rh-bankssts",61.6,54.8,60.4
"UCLA_CNP","BP","Brain_Region","ctx-rh-caudalanteriorcingulate",61.6,60.5,61.1
"UCLA_CNP","BP","Brain_Region","ctx-rh-caudalmiddlefrontal",61.6,57.1,54.8
"UCLA_CNP","BP","Brain_Region","ctx-rh-cuneus",61.6,51.5,50.3
"UCLA_CNP","BP","Brain_Region","ctx-rh-entorhinal",61.6,48.2,49.8
"UCLA_CNP","BP","Brain_Region","ctx-rh-frontalpole",61.6,57.6,56.6
"UCLA_CNP","BP","Brain_Region","ctx-rh-fusiform",61.6,53,55.3
"UCLA_CNP","BP","Brain_Region","ctx-rh-inferiorparietal",61.6,56.9,58.6
"UCLA_CNP","BP","Brain_Region","ctx-rh-inferiortemporal",61.6,46.7,52.2
"UCLA_CNP","BP","Brain_Region","ctx-rh-insula",61.6,63.3,61.2
"UCLA_CNP","BP","Brain_Region","ctx-rh-isthmuscingulate",61.6,51.9,53.3
"UCLA_CNP","BP","Brain_Region","ctx-rh-lateraloccipital",61.6,58.4,59.1
"UCLA_CNP","BP","Brain_Region","ctx-rh-lateralorbitofrontal",61.6,57.6,56.5
"UCLA_CNP","BP","Brain_Region","ctx-rh-lingual",61.6,50.4,50.1
"UCLA_CNP","BP","Brain_Region","ctx-rh-medialorbitofrontal",61.6,57.4,57.7
"UCLA_CNP","BP","Brain_Region","ctx-rh-middletemporal",61.6,59.1,59.7
"UCLA_CNP","BP","Brain_Region","ctx-rh-paracentral",61.6,58.1,58.6
"UCLA_CNP","BP","Brain_Region","ctx-rh-parahippocampal",61.6,61.8,63.5
"UCLA_CNP","BP","Brain_Region","ctx-rh-parsopercularis",61.6,61.7,64.1
"UCLA_CNP","BP","Brain_Region","ctx-rh-parsorbitalis",61.6,50.2,57.5
"UCLA_CNP","BP","Brain_Region","ctx-rh-parstriangularis",61.6,54.6,54.4
"UCLA_CNP","BP","Brain_Region","ctx-rh-pericalcarine",61.6,50.3,53.7
"UCLA_CNP","BP","Brain_Region","ctx-rh-postcentral",61.6,59.8,60.8
"UCLA_CNP","BP","Brain_Region","ctx-rh-posteriorcingulate",61.6,55.5,57.5
"UCLA_CNP","BP","Brain_Region","ctx-rh-precentral",61.6,56.5,60.7
"UCLA_CNP","BP","Brain_Region","ctx-rh-precuneus",61.6,56,59.9
"UCLA_CNP","BP","Brain_Region","ctx-rh-rostralanteriorcingulate",61.6,59.8,56.8
"UCLA_CNP","BP","Brain_Region","ctx-rh-rostralmiddlefrontal",61.6,48.3,57.3
"UCLA_CNP","BP","Brain_Region","ctx-rh-superiorfrontal",61.6,56.5,54.9
"UCLA_CNP","BP","Brain_Region","ctx-rh-superiorparietal",61.6,55.8,61.4
"UCLA_CNP","BP","Brain_Region","ctx-rh-superiortemporal",61.6,62.9,62.4
"UCLA_CNP","BP","Brain_Region","ctx-rh-supramarginal",61.6,57.1,57.7
"UCLA_CNP","BP","Brain_Region","ctx-rh-temporalpole",61.6,57.3,56.2
"UCLA_CNP","BP","Brain_Region","ctx-rh-transversetemporal",61.6,57.5,57.4
"UCLA_CNP","BP","catch25_feature","fALFF",61.6,61.9,63.8
"UCLA_CNP","ADHD","catch25_feature","embedding_dist",38.2,47.1,47.7
"UCLA_CNP","ADHD","catch25_feature","ACF_first_min",38.2,51.5,50.8
"UCLA_CNP","ADHD","catch25_feature","AMI2",38.2,49.9,50
"UCLA_CNP","ADHD","catch25_feature","ACF_timescale",38.2,45.4,44.1
"UCLA_CNP","ADHD","catch25_feature","trev",38.2,52,50.4
"UCLA_CNP","ADHD","Univariate_Combo","Combo",38.2,52.2,51.9
"UCLA_CNP","ADHD","catch25_feature","mode_10",38.2,51,50.7
"UCLA_CNP","ADHD","catch25_feature","mode_5",38.2,54.3,55.9
"UCLA_CNP","ADHD","catch25_feature","mean",38.2,52.4,51.9
"UCLA_CNP","ADHD","catch25_feature","outlier_timing_neg",38.2,60.8,58.8
"UCLA_CNP","ADHD","catch25_feature","outlier_timing_pos",38.2,55.4,54.4
"UCLA_CNP","ADHD","catch25_feature","SD",38.2,40.9,40.8
"UCLA_CNP","ADHD","catch25_feature","whiten_timescale",38.2,43.1,42.5
"UCLA_CNP","ADHD","catch25_feature","forecast_error",38.2,42.2,41.8
"UCLA_CNP","ADHD","catch25_feature","AMI_timescale",38.2,44.5,44.3
"UCLA_CNP","ADHD","Brain_Region","Left-Accumbens-area",38.2,52.1,49.6
"UCLA_CNP","ADHD","Brain_Region","Left-Amygdala",38.2,50.6,52.2
"UCLA_CNP","ADHD","Brain_Region","Left-Caudate",38.2,42.5,42.5
"UCLA_CNP","ADHD","Brain_Region","Left-Hippocampus",38.2,46.3,44.9
"UCLA_CNP","ADHD","Brain_Region","Left-Pallidum",38.2,48.1,47.6
"UCLA_CNP","ADHD","Brain_Region","Left-Putamen",38.2,47.9,46
"UCLA_CNP","ADHD","Brain_Region","Left-Thalamus-Proper",38.2,58.4,56.5
"UCLA_CNP","ADHD","catch25_feature","high_fluctuation",38.2,51.4,51
"UCLA_CNP","ADHD","catch25_feature","periodicity",38.2,58,57.2
"UCLA_CNP","ADHD","Brain_Region","Right-Accumbens-area",38.2,48.8,50.6
"UCLA_CNP","ADHD","Brain_Region","Right-Amygdala",38.2,45.3,45
"UCLA_CNP","ADHD","Brain_Region","Right-Caudate",38.2,58.9,56.7
"UCLA_CNP","ADHD","Brain_Region","Right-Hippocampus",38.2,52.5,50.3
"UCLA_CNP","ADHD","Brain_Region","Right-Pallidum",38.2,53.3,53.3
"UCLA_CNP","ADHD","Brain_Region","Right-Putamen",38.2,46.9,45.2
"UCLA_CNP","ADHD","Brain_Region","Right-Thalamus-Proper",38.2,57.9,55.1
"UCLA_CNP","ADHD","catch25_feature","stretch_decreasing",38.2,52.4,51.6
"UCLA_CNP","ADHD","catch25_feature","stretch_high",38.2,40,38.7
"UCLA_CNP","ADHD","catch25_feature","entropy_pairs",38.2,41.1,40.7
"UCLA_CNP","ADHD","catch25_feature","transition_variance",38.2,51.5,50.6
"UCLA_CNP","ADHD","catch25_feature","DFA",38.2,48.1,47.3
"UCLA_CNP","ADHD","catch25_feature","rs_range",38.2,50.6,50
"UCLA_CNP","ADHD","catch25_feature","low_freq_power",38.2,34.5,33.5
"UCLA_CNP","ADHD","catch25_feature","centroid_freq",38.2,36.8,36.4
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-bankssts",38.2,43.6,41.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-caudalanteriorcingulate",38.2,45.3,44.5
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-caudalmiddlefrontal",38.2,47.6,46.9
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-cuneus",38.2,50.7,48.6
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-entorhinal",38.2,45.9,46
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-frontalpole",38.2,57.4,56.9
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-fusiform",38.2,57.7,56.5
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-inferiorparietal",38.2,46.3,44.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-inferiortemporal",38.2,53.8,51.3
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-insula",38.2,54.6,53.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-isthmuscingulate",38.2,51.5,49.7
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-lateraloccipital",38.2,47.2,46.9
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-lateralorbitofrontal",38.2,52.2,50.4
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-lingual",38.2,48.8,47.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-medialorbitofrontal",38.2,47.5,46.5
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-middletemporal",38.2,49.3,49.4
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-paracentral",38.2,47.5,46.6
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-parahippocampal",38.2,56.1,54.1
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-parsopercularis",38.2,53.7,55.1
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-parsorbitalis",38.2,62.3,60.2
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-parstriangularis",38.2,53.4,52
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-pericalcarine",38.2,47,44.7
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-postcentral",38.2,43.9,42.4
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-posteriorcingulate",38.2,51.5,50.7
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-precentral",38.2,58.9,57.4
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-precuneus",38.2,47.2,45.2
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-rostralanteriorcingulate",38.2,50.1,47.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-rostralmiddlefrontal",38.2,48.7,48.8
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-superiorfrontal",38.2,43.3,40.6
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-superiorparietal",38.2,40.5,39.6
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-superiortemporal",38.2,49.2,47
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-supramarginal",38.2,47.8,47.5
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-temporalpole",38.2,50.2,51.9
"UCLA_CNP","ADHD","Brain_Region","ctx-lh-transversetemporal",38.2,42.8,40.3
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-bankssts",38.2,56.5,54.4
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-caudalanteriorcingulate",38.2,46.2,43.6
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-caudalmiddlefrontal",38.2,50.7,48
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-cuneus",38.2,51.6,52.7
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-entorhinal",38.2,57.1,56.8
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-frontalpole",38.2,43.3,41.1
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-fusiform",38.2,54.6,54.3
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-inferiorparietal",38.2,53.3,52.7
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-inferiortemporal",38.2,55.5,54.2
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-insula",38.2,56.5,56.1
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-isthmuscingulate",38.2,60.3,58.5
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-lateraloccipital",38.2,55.8,55.2
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-lateralorbitofrontal",38.2,52.9,51.1
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-lingual",38.2,52.8,49.9
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-medialorbitofrontal",38.2,53.2,56.2
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-middletemporal",38.2,58.4,57.4
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-paracentral",38.2,56.6,55.7
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-parahippocampal",38.2,55,52.8
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-parsopercularis",38.2,53.3,54.3
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-parsorbitalis",38.2,51,48.3
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-parstriangularis",38.2,57.7,54.4
"UCLA_CNP","ADHD","Brain_Region","ctx-rh-pericalcarine",38.2,50.1,47.9
