"index","Study","Disorder","Balanced_Accuracy","Balanced_Accuracy_SD","Confounds","Feature_Type","Analysis_Type","group_var"
33,"ABIDE","ASD",0.533279420661186,0.0426989421768078,"Age+Sex","Features+Confounds","Brain_Region","Postcentral_Gyrus"
34,"ABIDE","ASD",0.506188775105184,0.0393794690490481,"Age+Sex","Features+Confounds","Brain_Region","Precentral_Gyrus"
35,"ABIDE","ASD",0.531044751350212,0.0426162025980084,"Age+Sex","Features+Confounds","Brain_Region","Precuneous_Cortex"
36,"ABIDE","ASD",0.520965582938467,0.0422155809881317,"Age+Sex","Features+Confounds","Brain_Region","Subcallosal_Cortex"
37,"ABIDE","ASD",0.547504256623772,0.0422200655314194,"Age+Sex","Features+Confounds","Brain_Region","Superior_Frontal_Gyrus"
38,"ABIDE","ASD",0.509760048232611,0.040788968470998,"Age+Sex","Features+Confounds","Brain_Region","Superior_Parietal_Lobule"
39,"ABIDE","ASD",0.529510532748629,0.0399820513615753,"Age+Sex","Features+Confounds","Brain_Region","Superior_Temporal_Gyrus_anterior_division"
40,"ABIDE","ASD",0.539137513584241,0.0432429692522537,"Age+Sex","Features+Confounds","Brain_Region","Superior_Temporal_Gyrus_posterior_division"
41,"ABIDE","ASD",0.516189688705302,0.0424017878911609,"Age+Sex","Features+Confounds","Brain_Region","Supracalcarine_Cortex"
42,"ABIDE","ASD",0.527443127537208,0.0443769272123549,"Age+Sex","Features+Confounds","Brain_Region","Supramarginal_Gyrus_anterior_division"
43,"ABIDE","ASD",0.50508843101669,0.0417256440339985,"Age+Sex","Features+Confounds","Brain_Region","Supramarginal_Gyrus_posterior_division"
44,"ABIDE","ASD",0.525104324921369,0.0504532085942886,"Age+Sex","Features+Confounds","Brain_Region","Temporal_Fusiform_Cortex_anterior_division"
45,"ABIDE","ASD",0.543644344028272,0.0428337121451798,"Age+Sex","Features+Confounds","Brain_Region","Temporal_Fusiform_Cortex_posterior_division"
46,"ABIDE","ASD",0.509759035402518,0.0414951754938562,"Age+Sex","Features+Confounds","Brain_Region","Temporal_Occipital_Fusiform_Cortex"
47,"ABIDE","ASD",0.528795994804455,0.0400457586667357,"Age+Sex","Features+Confounds","Brain_Region","Temporal_Pole"
48,"ABIDE","ASD",0.487062662702942,0.0397039859685885,"Age+Sex+FD","Features+Confounds","Brain_Region","Angular_Gyrus"
49,"ABIDE","ASD",0.525672378891526,0.0461616175319977,"Age+Sex+FD","Features+Confounds","Brain_Region","Central_Opercular_Cortex"
50,"ABIDE","ASD",0.516589575240958,0.0487673622688707,"Age+Sex+FD","Features+Confounds","Brain_Region","Cingulate_Gyrus_anterior_division"
51,"ABIDE","ASD",0.519185746195728,0.0429661468188286,"Age+Sex+FD","Features+Confounds","Brain_Region","Cingulate_Gyrus_posterior_division"
52,"ABIDE","ASD",0.531981475474456,0.0418868664770985,"Age+Sex+FD","Features+Confounds","Brain_Region","Cuneal_Cortex"
53,"ABIDE","ASD",0.523228892073373,0.0451672280501425,"Age+Sex+FD","Features+Confounds","Brain_Region","Frontal_Medial_Cortex"
54,"ABIDE","ASD",0.538847717573697,0.0450413314973017,"Age+Sex+FD","Features+Confounds","Brain_Region","Frontal_Operculum_Cortex"
55,"ABIDE","ASD",0.54113695652769,0.0454581275781112,"Age+Sex+FD","Features+Confounds","Brain_Region","Frontal_Orbital_Cortex"
56,"ABIDE","ASD",0.534599767870292,0.0492473724646712,"Age+Sex+FD","Features+Confounds","Brain_Region","Frontal_Pole"
57,"ABIDE","ASD",0.506143231968203,0.0384246034123857,"Age+Sex+FD","Features+Confounds","Brain_Region","Heschls_Gyrus_includes_H1_and_H2"
58,"ABIDE","ASD",0.523636508281939,0.0434150507886284,"Age+Sex+FD","Features+Confounds","Brain_Region","Inferior_Frontal_Gyrus_pars_opercularis"
59,"ABIDE","ASD",0.540745894616397,0.0424207149671514,"Age+Sex+FD","Features+Confounds","Brain_Region","Inferior_Frontal_Gyrus_pars_triangularis"
60,"ABIDE","ASD",0.54550897107412,0.0434552642750609,"Age+Sex+FD","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_anterior_division"
61,"ABIDE","ASD",0.546976534506026,0.0408526943790574,"Age+Sex+FD","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_posterior_division"
62,"ABIDE","ASD",0.518211670540057,0.041320985732789,"Age+Sex+FD","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_temporooccipital_part"
63,"ABIDE","ASD",0.531277510655246,0.047001350660055,"Age+Sex+FD","Features+Confounds","Brain_Region","Insular_Cortex"
64,"ABIDE","ASD",0.513380590753682,0.0496538621606771,"Age+Sex+FD","Features+Confounds","Brain_Region","Intracalcarine_Cortex"
65,"ABIDE","ASD",0.519932578364307,0.0415232929091985,"Age+Sex+FD","Features+Confounds","Brain_Region","Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)"
66,"ABIDE","ASD",0.532537532882761,0.0418805908777573,"Age+Sex+FD","Features+Confounds","Brain_Region","Lateral_Occipital_Cortex_inferior_division"
67,"ABIDE","ASD",0.510778979258882,0.0364527283881909,"Age+Sex+FD","Features+Confounds","Brain_Region","Lateral_Occipital_Cortex_superior_division"
68,"ABIDE","ASD",0.501218266938215,0.0503295572196611,"Age+Sex+FD","Features+Confounds","Brain_Region","Lingual_Gyrus"
69,"ABIDE","ASD",0.546561766895785,0.0403794676128485,"Age+Sex+FD","Features+Confounds","Brain_Region","Middle_Frontal_Gyrus"
70,"ABIDE","ASD",0.508831306988801,0.0453803060379739,"Age+Sex+FD","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_anterior_division"
71,"ABIDE","ASD",0.521837978664871,0.0393375716719819,"Age+Sex+FD","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_posterior_division"
72,"ABIDE","ASD",0.534816277411425,0.0446636347348358,"Age+Sex+FD","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_temporooccipital_part"
73,"ABIDE","ASD",0.522731869656979,0.0465375616207653,"Age+Sex+FD","Features+Confounds","Brain_Region","Occipital_Fusiform_Gyrus"
74,"ABIDE","ASD",0.524510799643046,0.0460535611402183,"Age+Sex+FD","Features+Confounds","Brain_Region","Occipital_Pole"
75,"ABIDE","ASD",0.532021318020437,0.0498573646087027,"Age+Sex+FD","Features+Confounds","Brain_Region","Paracingulate_Gyrus"
76,"ABIDE","ASD",0.546487436800771,0.0437595060430334,"Age+Sex+FD","Features+Confounds","Brain_Region","Parahippocampal_Gyrus_anterior_division"
77,"ABIDE","ASD",0.547070703752672,0.043867334019545,"Age+Sex+FD","Features+Confounds","Brain_Region","Parahippocampal_Gyrus_posterior_division"
78,"ABIDE","ASD",0.526524648041543,0.0452693107414483,"Age+Sex+FD","Features+Confounds","Brain_Region","Parietal_Operculum_Cortex"
79,"ABIDE","ASD",0.517847883185104,0.0493842382705519,"Age+Sex+FD","Features+Confounds","Brain_Region","Planum_Polare"
80,"ABIDE","ASD",0.539853885572098,0.0449619526220755,"Age+Sex+FD","Features+Confounds","Brain_Region","Planum_Temporale"
81,"ABIDE","ASD",0.532430641668925,0.0444741907414567,"Age+Sex+FD","Features+Confounds","Brain_Region","Postcentral_Gyrus"
82,"ABIDE","ASD",0.509217537426809,0.0396421490869499,"Age+Sex+FD","Features+Confounds","Brain_Region","Precentral_Gyrus"
83,"ABIDE","ASD",0.528984449636339,0.0436640855308914,"Age+Sex+FD","Features+Confounds","Brain_Region","Precuneous_Cortex"
84,"ABIDE","ASD",0.521444436004194,0.0397154629878212,"Age+Sex+FD","Features+Confounds","Brain_Region","Subcallosal_Cortex"
85,"ABIDE","ASD",0.551878108635608,0.0413086296406008,"Age+Sex+FD","Features+Confounds","Brain_Region","Superior_Frontal_Gyrus"
86,"ABIDE","ASD",0.506031362146981,0.0347924192459767,"Age+Sex+FD","Features+Confounds","Brain_Region","Superior_Parietal_Lobule"
87,"ABIDE","ASD",0.530913579587915,0.0446360470148163,"Age+Sex+FD","Features+Confounds","Brain_Region","Superior_Temporal_Gyrus_anterior_division"
88,"ABIDE","ASD",0.535949781420316,0.0415952957707683,"Age+Sex+FD","Features+Confounds","Brain_Region","Superior_Temporal_Gyrus_posterior_division"
89,"ABIDE","ASD",0.513586616134657,0.0438921501403301,"Age+Sex+FD","Features+Confounds","Brain_Region","Supracalcarine_Cortex"
90,"ABIDE","ASD",0.525521645137184,0.0410775443980783,"Age+Sex+FD","Features+Confounds","Brain_Region","Supramarginal_Gyrus_anterior_division"
91,"ABIDE","ASD",0.511155988152625,0.0427810123783349,"Age+Sex+FD","Features+Confounds","Brain_Region","Supramarginal_Gyrus_posterior_division"
92,"ABIDE","ASD",0.52611932438758,0.053946629861558,"Age+Sex+FD","Features+Confounds","Brain_Region","Temporal_Fusiform_Cortex_anterior_division"
93,"ABIDE","ASD",0.544420449039591,0.0404952015244332,"Age+Sex+FD","Features+Confounds","Brain_Region","Temporal_Fusiform_Cortex_posterior_division"
94,"ABIDE","ASD",0.50752414367953,0.0413263974289546,"Age+Sex+FD","Features+Confounds","Brain_Region","Temporal_Occipital_Fusiform_Cortex"
95,"ABIDE","ASD",0.535530911163851,0.0411096891246758,"Age+Sex+FD","Features+Confounds","Brain_Region","Temporal_Pole"
96,"ABIDE","ASD",0.544899709290389,0.0430993570026813,"Age+Sex","Features+Confounds","SPI_Combo","anm"
97,"ABIDE","ASD",0.563776850262651,0.0468557793704369,"Age+Sex","Features+Confounds","SPI_Combo","bary_dtw_mean"
98,"ABIDE","ASD",0.543071814444052,0.0470560079444212,"Age+Sex","Features+Confounds","SPI_Combo","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5"
99,"ABIDE","ASD",0.553127181348597,0.0465803246183553,"Age+Sex","Features+Confounds","SPI_Combo","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10"
100,"ABIDE","ASD",0.594682197184332,0.0466315598876509,"Age+Sex","Features+Confounds","SPI_Combo","cov_EmpiricalCovariance"
101,"ABIDE","ASD",0.570301364856986,0.0449308243599225,"Age+Sex","Features+Confounds","SPI_Combo","di_gaussian"
102,"ABIDE","ASD",0.572376622923356,0.0471427208970066,"Age+Sex","Features+Confounds","SPI_Combo","dtw_constraint-itakura"
103,"ABIDE","ASD",0.569763890827865,0.0434661585534595,"Age+Sex","Features+Confounds","SPI_Combo","pec"
104,"ABIDE","ASD",0.592321591347694,0.0457586705887565,"Age+Sex","Features+Confounds","SPI_Combo","phi_star_t-1_norm-0"
105,"ABIDE","ASD",0.536277096626728,0.0482279543185008,"Age+Sex","Features+Confounds","SPI_Combo","pli_multitaper_max_fs-1_fmin-0_fmax-0-5"
106,"ABIDE","ASD",0.548662886346777,0.0448720474368259,"Age+Sex","Features+Confounds","SPI_Combo","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5"
107,"ABIDE","ASD",0.547853997804622,0.0419728042455231,"Age+Sex","Features+Confounds","SPI_Combo","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean"
108,"ABIDE","ASD",0.528727782750682,0.0376855837730941,"Age+Sex","Features+Confounds","SPI_Combo","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5"
109,"ABIDE","ASD",0.559484907462915,0.0401736216949162,"Age+Sex","Features+Confounds","SPI_Combo","te_kraskov_NN-4_DCE_k-max-10_tau-max-4"
110,"ABIDE","ASD",0.543969277715274,0.0425456907216945,"Age+Sex+FD","Features+Confounds","SPI_Combo","anm"
111,"ABIDE","ASD",0.563938944138314,0.046642928142957,"Age+Sex+FD","Features+Confounds","SPI_Combo","bary_dtw_mean"
112,"ABIDE","ASD",0.542847551277945,0.0464253913060597,"Age+Sex+FD","Features+Confounds","SPI_Combo","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5"
113,"ABIDE","ASD",0.553864559295727,0.0473417829209791,"Age+Sex+FD","Features+Confounds","SPI_Combo","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10"
114,"ABIDE","ASD",0.594722713809801,0.0460051651502302,"Age+Sex+FD","Features+Confounds","SPI_Combo","cov_EmpiricalCovariance"
115,"ABIDE","ASD",0.570406572582963,0.0437969801479535,"Age+Sex+FD","Features+Confounds","SPI_Combo","di_gaussian"
116,"ABIDE","ASD",0.57167702080134,0.0469521487191769,"Age+Sex+FD","Features+Confounds","SPI_Combo","dtw_constraint-itakura"
117,"ABIDE","ASD",0.569301650228708,0.0433978039333626,"Age+Sex+FD","Features+Confounds","SPI_Combo","pec"
118,"ABIDE","ASD",0.591181380761155,0.0452652272688494,"Age+Sex+FD","Features+Confounds","SPI_Combo","phi_star_t-1_norm-0"
119,"ABIDE","ASD",0.53564117619685,0.0471779970707559,"Age+Sex+FD","Features+Confounds","SPI_Combo","pli_multitaper_max_fs-1_fmin-0_fmax-0-5"
120,"ABIDE","ASD",0.548366883330185,0.0454650233395616,"Age+Sex+FD","Features+Confounds","SPI_Combo","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5"
121,"ABIDE","ASD",0.546063136269446,0.0413769818994506,"Age+Sex+FD","Features+Confounds","SPI_Combo","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean"
122,"ABIDE","ASD",0.528528077292623,0.0382331420020708,"Age+Sex+FD","Features+Confounds","SPI_Combo","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5"
123,"ABIDE","ASD",0.559675949117606,0.0411356103666638,"Age+Sex+FD","Features+Confounds","SPI_Combo","te_kraskov_NN-4_DCE_k-max-10_tau-max-4"
124,"ABIDE","ASD",0.544057534224076,0.0473187962519056,"Age+Sex","Features+Confounds","Univariate_Combo","Combo"
125,"ABIDE","ASD",0.543132779287898,0.048150647470051,"Age+Sex+FD","Features+Confounds","Univariate_Combo","Combo"
126,"ABIDE","ASD",0.529386745065191,0.0445533716513463,"Age+Sex","Features+Confounds","catch25_feature","CO_Embed2_Dist_tau_d_expfit_meandiff"
127,"ABIDE","ASD",0.539262379110516,0.0430720489693298,"Age+Sex","Features+Confounds","catch25_feature","CO_FirstMin_ac"
128,"ABIDE","ASD",0.517915646993126,0.0408436865085275,"Age+Sex","Features+Confounds","catch25_feature","CO_HistogramAMI_even_2_5"
129,"ABIDE","ASD",0.552135432492137,0.0412500914813312,"Age+Sex","Features+Confounds","catch25_feature","CO_f1ecac"
130,"ABIDE","ASD",0.53506536860172,0.0358944259797554,"Age+Sex","Features+Confounds","catch25_feature","CO_trev_1_num"
131,"ABIDE","ASD",0.522409355128342,0.0437975572828269,"Age+Sex","Features+Confounds","catch25_feature","DN_HistogramMode_10"
132,"ABIDE","ASD",0.523844490888635,0.0463032157204785,"Age+Sex","Features+Confounds","catch25_feature","DN_HistogramMode_5"
133,"ABIDE","ASD",0.493312221300638,0.0425547555364005,"Age+Sex","Features+Confounds","catch25_feature","DN_Mean"
134,"ABIDE","ASD",0.515267633508799,0.039735867467262,"Age+Sex","Features+Confounds","catch25_feature","DN_OutlierInclude_n_001_mdrmd"
135,"ABIDE","ASD",0.515058993931232,0.0420477270404049,"Age+Sex","Features+Confounds","catch25_feature","DN_OutlierInclude_p_001_mdrmd"
136,"ABIDE","ASD",0.603397175846466,0.048873708581909,"Age+Sex","Features+Confounds","catch25_feature","DN_Spread_Std"
137,"ABIDE","ASD",0.526485578805025,0.0443749875896039,"Age+Sex","Features+Confounds","catch25_feature","FC_LocalSimple_mean1_tauresrat"
138,"ABIDE","ASD",0.565291742971096,0.04415310741696,"Age+Sex","Features+Confounds","catch25_feature","FC_LocalSimple_mean3_stderr"
139,"ABIDE","ASD",0.527496564589817,0.0409218462017867,"Age+Sex","Features+Confounds","catch25_feature","IN_AutoMutualInfoStats_40_gaussian_fmmi"
140,"ABIDE","ASD",0.525766743176399,0.0388849884520101,"Age+Sex","Features+Confounds","catch25_feature","MD_hrv_classic_pnn40"
141,"ABIDE","ASD",0.530036930659462,0.0365596554313695,"Age+Sex","Features+Confounds","catch25_feature","PD_PeriodicityWang_th0_01"
142,"ABIDE","ASD",0.540258795197543,0.0478137677823741,"Age+Sex","Features+Confounds","catch25_feature","SB_BinaryStats_diff_longstretch0"
143,"ABIDE","ASD",0.498325932145858,0.0411851788544728,"Age+Sex","Features+Confounds","catch25_feature","SB_BinaryStats_mean_longstretch1"
144,"ABIDE","ASD",0.538231461787563,0.0430807514922844,"Age+Sex","Features+Confounds","catch25_feature","SB_MotifThree_quantile_hh"
145,"ABIDE","ASD",0.527618665363674,0.0444259945534761,"Age+Sex","Features+Confounds","catch25_feature","SB_TransitionMatrix_3ac_sumdiagcov"
146,"ABIDE","ASD",0.525897689104959,0.0472209329372706,"Age+Sex","Features+Confounds","catch25_feature","SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"
147,"ABIDE","ASD",0.518688805900693,0.0455372554668526,"Age+Sex","Features+Confounds","catch25_feature","SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"
148,"ABIDE","ASD",0.537484639884154,0.0441305020088618,"Age+Sex","Features+Confounds","catch25_feature","SP_Summaries_welch_rect_area_5_1"
149,"ABIDE","ASD",0.550986031156844,0.0429976559498514,"Age+Sex","Features+Confounds","catch25_feature","SP_Summaries_welch_rect_centroid"
150,"ABIDE","ASD",0.534364288295243,0.0400597003689457,"Age+Sex","Features+Confounds","catch25_feature","fALFF"
151,"ABIDE","ASD",0.530483862468623,0.0465198180120757,"Age+Sex+FD","Features+Confounds","catch25_feature","CO_Embed2_Dist_tau_d_expfit_meandiff"
152,"ABIDE","ASD",0.536709451894677,0.0431563687259106,"Age+Sex+FD","Features+Confounds","catch25_feature","CO_FirstMin_ac"
153,"ABIDE","ASD",0.515930062029,0.0380255067488745,"Age+Sex+FD","Features+Confounds","catch25_feature","CO_HistogramAMI_even_2_5"
154,"ABIDE","ASD",0.551640261228043,0.04146744889104,"Age+Sex+FD","Features+Confounds","catch25_feature","CO_f1ecac"
155,"ABIDE","ASD",0.540926120203771,0.038407766210287,"Age+Sex+FD","Features+Confounds","catch25_feature","CO_trev_1_num"
156,"ABIDE","ASD",0.520608348183612,0.0442938144375732,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_HistogramMode_10"
157,"ABIDE","ASD",0.521709575076715,0.0467445148091104,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_HistogramMode_5"
158,"ABIDE","ASD",0.493566013938732,0.0445683660144108,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_Mean"
159,"ABIDE","ASD",0.521415874879897,0.0407397889627407,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_OutlierInclude_n_001_mdrmd"
160,"ABIDE","ASD",0.516130941138147,0.0455533034634183,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_OutlierInclude_p_001_mdrmd"
161,"ABIDE","ASD",0.605395140605453,0.0501746911483945,"Age+Sex+FD","Features+Confounds","catch25_feature","DN_Spread_Std"
162,"ABIDE","ASD",0.529647938890759,0.0410492201159695,"Age+Sex+FD","Features+Confounds","catch25_feature","FC_LocalSimple_mean1_tauresrat"
163,"ABIDE","ASD",0.560925579571491,0.0444392326339193,"Age+Sex+FD","Features+Confounds","catch25_feature","FC_LocalSimple_mean3_stderr"
164,"ABIDE","ASD",0.528872983578466,0.0410864053510254,"Age+Sex+FD","Features+Confounds","catch25_feature","IN_AutoMutualInfoStats_40_gaussian_fmmi"
165,"ABIDE","ASD",0.526307693676382,0.0395058826462669,"Age+Sex+FD","Features+Confounds","catch25_feature","MD_hrv_classic_pnn40"
166,"ABIDE","ASD",0.528387913241522,0.0382060858357244,"Age+Sex+FD","Features+Confounds","catch25_feature","PD_PeriodicityWang_th0_01"
167,"ABIDE","ASD",0.542770737011823,0.0496619563638136,"Age+Sex+FD","Features+Confounds","catch25_feature","SB_BinaryStats_diff_longstretch0"
168,"ABIDE","ASD",0.49840518952241,0.0485012528302356,"Age+Sex+FD","Features+Confounds","catch25_feature","SB_BinaryStats_mean_longstretch1"
169,"ABIDE","ASD",0.539970511588692,0.0409984748664951,"Age+Sex+FD","Features+Confounds","catch25_feature","SB_MotifThree_quantile_hh"
170,"ABIDE","ASD",0.53205270548817,0.0440439794439731,"Age+Sex+FD","Features+Confounds","catch25_feature","SB_TransitionMatrix_3ac_sumdiagcov"
171,"ABIDE","ASD",0.523958540347592,0.0439343886713826,"Age+Sex+FD","Features+Confounds","catch25_feature","SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"
172,"ABIDE","ASD",0.517692547212938,0.0440226354729719,"Age+Sex+FD","Features+Confounds","catch25_feature","SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"
173,"ABIDE","ASD",0.534809803510962,0.0457445546316212,"Age+Sex+FD","Features+Confounds","catch25_feature","SP_Summaries_welch_rect_area_5_1"
174,"ABIDE","ASD",0.547774422207805,0.0445281132804708,"Age+Sex+FD","Features+Confounds","catch25_feature","SP_Summaries_welch_rect_centroid"
