"Study","Disorder","Analysis","Fold","Repeat","Balanced Accuracy","group_var"
"ABIDE","ASD","Brain_Region",4,2,49.5,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",4,3,42.6,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",4,4,46.4,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",4,5,54.4,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",4,6,63.3,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",4,7,44,"Temporal_Fusiform_Cortex_posterior_division"
"ABIDE","ASD","Brain_Region",4,8,48.8,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",4,9,47.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",4,10,48.8,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",5,1,48.1,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",5,2,49.3,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",5,3,56.3,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",5,4,50.8,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",5,5,53.9,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",5,6,52.3,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",5,7,56.8,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",5,8,50.1,"Lateral_Occipital_Cortex_inferior_division"
"ABIDE","ASD","Brain_Region",5,9,53.3,"Superior_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",5,10,46.6,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",6,1,36.7,"Planum_Polare"
"ABIDE","ASD","Brain_Region",6,2,51.8,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",6,3,50.1,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",6,4,51,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",6,5,47.1,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",6,6,40.1,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",6,7,62.2,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",6,8,46.3,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",6,9,54.1,"Inferior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",6,10,47.9,"Paracingulate_Gyrus"
"ABIDE","ASD","Brain_Region",7,1,51.4,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",7,2,50.4,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",7,3,45.6,"Cingulate_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",7,4,55.9,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",7,5,51.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",7,6,47.7,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",7,7,44.7,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",7,8,56.6,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",7,9,52.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",7,10,45.3,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",8,1,55,"Cingulate_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",8,2,53.6,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",8,3,55.9,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",8,4,49.6,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",8,5,44.1,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",8,6,50.7,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",8,7,56.6,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",8,8,57.6,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",8,9,57.4,"Superior_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",8,10,50.1,"Lateral_Occipital_Cortex_inferior_division"
"ABIDE","ASD","Brain_Region",9,1,46.4,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",9,2,55.8,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",9,3,51.3,"Middle_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",9,4,56.1,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",9,5,51.7,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",9,6,50.9,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",9,7,50.8,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",9,8,50.6,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",9,9,57.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",9,10,51.2,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",10,1,61.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",10,2,48.2,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",10,3,52.8,"Middle_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",10,4,57.2,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",10,5,49.1,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",10,6,52.3,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",10,7,53.2,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",10,8,47.1,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",10,9,55.6,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",10,10,52,"Superior_Frontal_Gyrus"
"ABIDE","ASD","Univariate_Combo",1,1,64.6,"Combo"
"ABIDE","ASD","Univariate_Combo",1,2,53.8,"Combo"
"ABIDE","ASD","Univariate_Combo",1,3,57.9,"Combo"
"ABIDE","ASD","Univariate_Combo",1,4,57.6,"Combo"
"ABIDE","ASD","Univariate_Combo",1,5,53.6,"Combo"
"ABIDE","ASD","Univariate_Combo",1,6,53.5,"Combo"
"ABIDE","ASD","Univariate_Combo",1,7,55.4,"Combo"
"ABIDE","ASD","Univariate_Combo",1,8,49.3,"Combo"
"ABIDE","ASD","Univariate_Combo",1,9,59.1,"Combo"
"ABIDE","ASD","Univariate_Combo",1,10,54.7,"Combo"
"ABIDE","ASD","Univariate_Combo",2,1,42.9,"Combo"
"ABIDE","ASD","Univariate_Combo",2,2,58.7,"Combo"
"ABIDE","ASD","Univariate_Combo",2,3,51,"Combo"
"ABIDE","ASD","Univariate_Combo",2,4,50.3,"Combo"
"ABIDE","ASD","Univariate_Combo",2,5,57,"Combo"
"ABIDE","ASD","Univariate_Combo",2,6,53.3,"Combo"
"ABIDE","ASD","Univariate_Combo",2,7,54.2,"Combo"
"ABIDE","ASD","Univariate_Combo",2,8,51.4,"Combo"
"ABIDE","ASD","Univariate_Combo",2,9,53,"Combo"
"ABIDE","ASD","Univariate_Combo",2,10,55.1,"Combo"
"ABIDE","ASD","Univariate_Combo",3,1,58.5,"Combo"
"ABIDE","ASD","Univariate_Combo",3,2,56.6,"Combo"
"ABIDE","ASD","Univariate_Combo",3,3,49.6,"Combo"
"ABIDE","ASD","Univariate_Combo",3,4,56.3,"Combo"
"ABIDE","ASD","Univariate_Combo",3,5,53.2,"Combo"
"ABIDE","ASD","Univariate_Combo",3,6,54.9,"Combo"
"ABIDE","ASD","Univariate_Combo",3,7,50.1,"Combo"
"ABIDE","ASD","Univariate_Combo",3,8,61.2,"Combo"
"ABIDE","ASD","Univariate_Combo",3,9,54.4,"Combo"
"ABIDE","ASD","Univariate_Combo",3,10,52.6,"Combo"
"ABIDE","ASD","Univariate_Combo",4,1,40.5,"Combo"
"ABIDE","ASD","Univariate_Combo",4,2,45.2,"Combo"
"ABIDE","ASD","Univariate_Combo",4,3,52.4,"Combo"
"ABIDE","ASD","Univariate_Combo",4,4,52.8,"Combo"
"ABIDE","ASD","Univariate_Combo",4,5,64.9,"Combo"
"ABIDE","ASD","Univariate_Combo",4,6,58,"Combo"
"ABIDE","ASD","Univariate_Combo",4,7,52.6,"Combo"
"ABIDE","ASD","Univariate_Combo",4,8,53.8,"Combo"
"ABIDE","ASD","Univariate_Combo",4,9,61.9,"Combo"
"ABIDE","ASD","Univariate_Combo",4,10,56.5,"Combo"
"ABIDE","ASD","Univariate_Combo",5,1,58,"Combo"
"ABIDE","ASD","Univariate_Combo",5,2,55.3,"Combo"
"ABIDE","ASD","Univariate_Combo",5,3,55,"Combo"
"ABIDE","ASD","Univariate_Combo",5,4,53.6,"Combo"
"ABIDE","ASD","Univariate_Combo",5,5,58.1,"Combo"
"ABIDE","ASD","Univariate_Combo",5,6,54.9,"Combo"
"ABIDE","ASD","Univariate_Combo",5,7,51.8,"Combo"
"ABIDE","ASD","Univariate_Combo",5,8,52.3,"Combo"
"ABIDE","ASD","Univariate_Combo",5,9,51.1,"Combo"
"ABIDE","ASD","Univariate_Combo",5,10,52.9,"Combo"
"ABIDE","ASD","Univariate_Combo",6,1,47.2,"Combo"
"ABIDE","ASD","Univariate_Combo",6,2,54.2,"Combo"
"ABIDE","ASD","Univariate_Combo",6,3,63.6,"Combo"
"ABIDE","ASD","Univariate_Combo",6,4,57.5,"Combo"
"ABIDE","ASD","Univariate_Combo",6,5,45.8,"Combo"
"ABIDE","ASD","Univariate_Combo",6,6,50.3,"Combo"
"ABIDE","ASD","Univariate_Combo",6,7,57.1,"Combo"
"ABIDE","ASD","Univariate_Combo",6,8,50,"Combo"
"ABIDE","ASD","Univariate_Combo",6,9,49,"Combo"
"ABIDE","ASD","Univariate_Combo",6,10,49.5,"Combo"
"ABIDE","ASD","Univariate_Combo",7,1,57.1,"Combo"
"ABIDE","ASD","Univariate_Combo",7,2,48.3,"Combo"
"ABIDE","ASD","Univariate_Combo",7,3,49.2,"Combo"
"ABIDE","ASD","Univariate_Combo",7,4,59.9,"Combo"
"ABIDE","ASD","Univariate_Combo",7,5,49.3,"Combo"
"ABIDE","ASD","Univariate_Combo",7,6,56.8,"Combo"
"ABIDE","ASD","Univariate_Combo",7,7,54.4,"Combo"
"ABIDE","ASD","Univariate_Combo",7,8,58.6,"Combo"
"ABIDE","ASD","Univariate_Combo",7,9,42.7,"Combo"
"ABIDE","ASD","Univariate_Combo",7,10,57.1,"Combo"
"ABIDE","ASD","Univariate_Combo",8,1,62.3,"Combo"
"ABIDE","ASD","Univariate_Combo",8,2,54.5,"Combo"
"ABIDE","ASD","Univariate_Combo",8,3,59.1,"Combo"
"ABIDE","ASD","Univariate_Combo",8,4,60,"Combo"
"ABIDE","ASD","Univariate_Combo",8,5,50,"Combo"
"ABIDE","ASD","Univariate_Combo",8,6,55.8,"Combo"
"ABIDE","ASD","Univariate_Combo",8,7,57.4,"Combo"
"ABIDE","ASD","Univariate_Combo",8,8,60.3,"Combo"
"ABIDE","ASD","Univariate_Combo",8,9,57.3,"Combo"
"ABIDE","ASD","Univariate_Combo",8,10,49.4,"Combo"
"ABIDE","ASD","Univariate_Combo",9,1,52.5,"Combo"
"ABIDE","ASD","Univariate_Combo",9,2,58.5,"Combo"
"ABIDE","ASD","Univariate_Combo",9,3,51.1,"Combo"
"ABIDE","ASD","Univariate_Combo",9,4,47.8,"Combo"
"ABIDE","ASD","Univariate_Combo",9,5,64,"Combo"
"ABIDE","ASD","Univariate_Combo",9,6,49.7,"Combo"
"ABIDE","ASD","Univariate_Combo",9,7,56.7,"Combo"
"ABIDE","ASD","Univariate_Combo",9,8,53.7,"Combo"
"ABIDE","ASD","Univariate_Combo",9,9,65,"Combo"
"ABIDE","ASD","Univariate_Combo",9,10,50,"Combo"
"ABIDE","ASD","Univariate_Combo",10,1,54,"Combo"
"ABIDE","ASD","Univariate_Combo",10,2,46.2,"Combo"
"ABIDE","ASD","Univariate_Combo",10,3,55.1,"Combo"
"ABIDE","ASD","Univariate_Combo",10,4,55.8,"Combo"
"ABIDE","ASD","Univariate_Combo",10,5,50.3,"Combo"
"ABIDE","ASD","Univariate_Combo",10,6,55.1,"Combo"
"ABIDE","ASD","Univariate_Combo",10,7,56.1,"Combo"
"ABIDE","ASD","Univariate_Combo",10,8,47.1,"Combo"
"ABIDE","ASD","Univariate_Combo",10,9,52.7,"Combo"
"ABIDE","ASD","Univariate_Combo",10,10,54.5,"Combo"
"ABIDE","ASD","catch25_feature",1,1,56.9,"SD"
"ABIDE","ASD","catch25_feature",1,2,60.2,"SD"
"ABIDE","ASD","catch25_feature",1,3,65.7,"SD"
"ABIDE","ASD","catch25_feature",1,4,52.8,"SD"
"ABIDE","ASD","catch25_feature",1,5,55,"SD"
"ABIDE","ASD","catch25_feature",1,6,57.7,"SD"
"ABIDE","ASD","catch25_feature",1,7,53.5,"SD"
"ABIDE","ASD","catch25_feature",1,8,54.1,"SD"
"ABIDE","ASD","catch25_feature",1,9,64.8,"SD"
"ABIDE","ASD","catch25_feature",1,10,69.8,"SD"
"ABIDE","ASD","catch25_feature",2,1,57.6,"SD"
"ABIDE","ASD","catch25_feature",2,2,57.3,"SD"
"ABIDE","ASD","catch25_feature",2,3,53.6,"SD"
"ABIDE","ASD","catch25_feature",2,4,61.9,"SD"
"ABIDE","ASD","catch25_feature",2,5,58.7,"SD"
"ABIDE","ASD","catch25_feature",2,6,57.2,"SD"
"ABIDE","ASD","catch25_feature",2,7,60.8,"SD"
"ABIDE","ASD","catch25_feature",2,8,68.1,"SD"
"ABIDE","ASD","catch25_feature",2,9,59,"SD"
"ABIDE","ASD","catch25_feature",2,10,51.9,"SD"
"ABIDE","ASD","catch25_feature",3,1,63.2,"SD"
"ABIDE","ASD","catch25_feature",3,2,62.8,"SD"
"ABIDE","ASD","catch25_feature",3,3,58.3,"SD"
"ABIDE","ASD","catch25_feature",3,4,59,"SD"
"ABIDE","ASD","catch25_feature",3,5,60.8,"SD"
"ABIDE","ASD","catch25_feature",3,6,52.7,"SD"
"ABIDE","ASD","catch25_feature",3,7,58.9,"SD"
"ABIDE","ASD","catch25_feature",3,8,49.4,"SD"
"ABIDE","ASD","catch25_feature",3,9,50.4,"SD"
"ABIDE","ASD","catch25_feature",3,10,57.9,"SD"
"ABIDE","ASD","catch25_feature",4,1,62.2,"SD"
"ABIDE","ASD","catch25_feature",4,2,55.5,"SD"
"ABIDE","ASD","catch25_feature",4,3,60,"SD"
"ABIDE","ASD","catch25_feature",4,4,60.1,"SD"
"ABIDE","ASD","catch25_feature",4,5,66.3,"SD"
"ABIDE","ASD","catch25_feature",4,6,52.7,"SD"
"ABIDE","ASD","catch25_feature",4,7,58.8,"SD"
"ABIDE","ASD","catch25_feature",4,8,61.2,"SD"
"ABIDE","ASD","catch25_feature",4,9,58.1,"SD"
"ABIDE","ASD","catch25_feature",4,10,59.9,"SD"
"ABIDE","ASD","catch25_feature",5,1,60.6,"SD"
"ABIDE","ASD","catch25_feature",5,2,67.5,"SD"
"ABIDE","ASD","catch25_feature",5,3,54.9,"SD"
"ABIDE","ASD","catch25_feature",5,4,64.7,"SD"
"ABIDE","ASD","catch25_feature",5,5,63,"SD"
"ABIDE","ASD","catch25_feature",5,6,59.9,"SD"
"ABIDE","ASD","catch25_feature",5,7,61.7,"SD"
"ABIDE","ASD","catch25_feature",5,8,59.8,"SD"
"ABIDE","ASD","catch25_feature",5,9,63.6,"SD"
"ABIDE","ASD","catch25_feature",5,10,58.5,"SD"
"ABIDE","ASD","catch25_feature",6,1,65.2,"SD"
"ABIDE","ASD","catch25_feature",6,2,59,"SD"
"ABIDE","ASD","catch25_feature",6,3,48.3,"SD"
"ABIDE","ASD","catch25_feature",6,4,59.1,"SD"
"ABIDE","ASD","catch25_feature",6,5,63.7,"SD"
"ABIDE","ASD","catch25_feature",6,6,60.1,"SD"
"ABIDE","ASD","catch25_feature",6,7,59.5,"SD"
"ABIDE","ASD","catch25_feature",6,8,56.2,"SD"
"ABIDE","ASD","catch25_feature",6,9,59.2,"SD"
"ABIDE","ASD","catch25_feature",6,10,51.8,"SD"
"ABIDE","ASD","catch25_feature",7,1,56.5,"SD"
"ABIDE","ASD","catch25_feature",7,2,61,"SD"
"ABIDE","ASD","catch25_feature",7,3,63.6,"SD"
"ABIDE","ASD","catch25_feature",7,4,54.1,"SD"
"ABIDE","ASD","catch25_feature",7,5,56.5,"SD"
"ABIDE","ASD","catch25_feature",7,6,62.7,"SD"
"ABIDE","ASD","catch25_feature",7,7,57.1,"SD"
"ABIDE","ASD","catch25_feature",7,8,61.8,"SD"
"ABIDE","ASD","catch25_feature",7,9,58.4,"SD"
"ABIDE","ASD","catch25_feature",7,10,61.1,"SD"
"ABIDE","ASD","catch25_feature",8,1,74.9,"SD"
"ABIDE","ASD","catch25_feature",8,2,58.1,"SD"
"ABIDE","ASD","catch25_feature",8,3,59.8,"SD"
"ABIDE","ASD","catch25_feature",8,4,62.3,"SD"
"ABIDE","ASD","catch25_feature",8,5,58.5,"SD"
"ABIDE","ASD","catch25_feature",8,6,60.6,"SD"
"ABIDE","ASD","catch25_feature",8,7,63.1,"SD"
"ABIDE","ASD","catch25_feature",8,8,53.2,"SD"
"ABIDE","ASD","catch25_feature",8,9,67,"SD"
"ABIDE","ASD","catch25_feature",8,10,60.3,"SD"
"ABIDE","ASD","catch25_feature",9,1,54.5,"SD"
"ABIDE","ASD","catch25_feature",9,2,62.4,"SD"
"ABIDE","ASD","catch25_feature",9,3,61.4,"SD"
"ABIDE","ASD","catch25_feature",9,4,57,"SD"
"ABIDE","ASD","catch25_feature",9,5,65.3,"SD"
"ABIDE","ASD","catch25_feature",9,6,59.3,"SD"
"ABIDE","ASD","catch25_feature",9,7,60.8,"SD"
"ABIDE","ASD","catch25_feature",9,8,64.2,"SD"
"ABIDE","ASD","catch25_feature",9,9,58.3,"SD"
"ABIDE","ASD","catch25_feature",9,10,60.9,"SD"
"ABIDE","ASD","catch25_feature",10,1,57.3,"SD"
"ABIDE","ASD","catch25_feature",10,2,56.7,"SD"
"ABIDE","ASD","catch25_feature",10,3,64.7,"SD"
"ABIDE","ASD","catch25_feature",10,4,63.8,"SD"
"ABIDE","ASD","catch25_feature",10,5,57.7,"SD"
"ABIDE","ASD","catch25_feature",10,6,56.7,"SD"
"ABIDE","ASD","catch25_feature",10,7,60.4,"SD"
"ABIDE","ASD","catch25_feature",10,8,59.9,"SD"
"ABIDE","ASD","catch25_feature",10,9,59.6,"SD"
"ABIDE","ASD","catch25_feature",10,10,62.5,"SD"
"UCLA_CNP","ADHD","Brain_Region",1,1,50,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",1,2,41.7,"ctx-rh-lateraloccipital"
"UCLA_CNP","ADHD","Brain_Region",1,3,41.7,"ctx-rh-bankssts"
"UCLA_CNP","ADHD","Brain_Region",1,4,25,"ctx-rh-middletemporal"
"UCLA_CNP","ADHD","Brain_Region",1,5,62.5,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",1,6,41.7,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",1,7,54.2,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",1,8,33.3,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",1,9,58.3,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",1,10,66.7,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",2,1,20.8,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",2,2,45.8,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",2,3,54.2,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",2,4,37.5,"ctx-rh-bankssts"
"UCLA_CNP","ADHD","Brain_Region",2,5,37.5,"ctx-rh-inferiortemporal"
"UCLA_CNP","ADHD","Brain_Region",2,6,50,"ctx-rh-inferiorparietal"
"UCLA_CNP","ADHD","Brain_Region",2,7,62.5,"ctx-rh-precuneus Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",2,8,37.5,"ctx-rh-inferiortemporal"
"UCLA_CNP","ADHD","Brain_Region",2,9,58.3,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",2,10,50,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",3,1,62.5,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",3,2,58.3,"ctx-rh-lateraloccipital"
"UCLA_CNP","ADHD","Brain_Region",3,3,41.7,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",3,4,25,"ctx-rh-inferiorparietal"
"UCLA_CNP","ADHD","Brain_Region",3,5,50,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",3,6,66.7,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",3,7,29.2,"Left-Amygdala"
"UCLA_CNP","ADHD","Brain_Region",3,8,66.7,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",3,9,54.2,"ctx-lh-insula"
"UCLA_CNP","ADHD","Brain_Region",3,10,58.3,"ctx-rh-rostralanteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",4,1,54.2,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",4,2,45.8,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",4,3,58.3,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",4,4,41.7,"ctx-rh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",4,5,41.7,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",4,6,29.2,"ctx-lh-parstriangularis"
"UCLA_CNP","ADHD","Brain_Region",4,7,27.1,"ctx-rh-lateraloccipital ctx-rh-isthmuscingulate"
"UCLA_CNP","ADHD","Brain_Region",4,8,62.5,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",4,9,41.7,"ctx-lh-lateralorbitofrontal"
"UCLA_CNP","ADHD","Brain_Region",4,10,37.5,"Right-Thalamus-Proper"
"UCLA_CNP","ADHD","Brain_Region",5,1,20.8,"ctx-lh-pericalcarine"
"UCLA_CNP","ADHD","Brain_Region",5,2,41.7,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",5,3,45.8,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",5,4,45.8,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",5,5,50,"ctx-rh-precuneus"
"UCLA_CNP","ADHD","Brain_Region",5,6,25,"ctx-rh-lateraloccipital"
"UCLA_CNP","ADHD","Brain_Region",5,7,41.7,"Right-Thalamus-Proper"
"UCLA_CNP","ADHD","Brain_Region",5,8,54.2,"ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",5,9,33.3,"ctx-rh-superiorparietal"
"UCLA_CNP","ADHD","Brain_Region",5,10,29.2,"ctx-lh-frontalpole"
"UCLA_CNP","ADHD","Brain_Region",6,1,58.3,"ctx-rh-inferiortemporal"
"UCLA_CNP","ADHD","Brain_Region",6,2,20.8,"ctx-rh-superiorfrontal"
"UCLA_CNP","ADHD","Brain_Region",6,3,29.2,"ctx-rh-lateraloccipital"
"UCLA_CNP","ADHD","Brain_Region",6,4,66.7,"ctx-rh-precuneus ctx-lh-parsorbitalis"
"UCLA_CNP","ADHD","Brain_Region",6,5,29.2,"Right-Thalamus-Proper"
"UCLA_CNP","ADHD","Brain_Region",6,6,37.5,"ctx-rh-inferiortemporal"
"UCLA_CNP","ADHD","Brain_Region",6,7,70.8,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",6,8,54.2,"ctx-rh-lateraloccipital"
"UCLA_CNP","ADHD","Brain_Region",6,9,37.5,"ctx-rh-posteriorcingulate"
"UCLA_CNP","ADHD","Brain_Region",6,10,54.2,"ctx-rh-bankssts"
"UCLA_CNP","ADHD","Brain_Region",7,1,34.1,"Right-Caudate"
"UCLA_CNP","ADHD","Brain_Region",7,2,27.3,"Right-Caudate"
