"Study","Disorder","Brain Region","Pearson R","p-value","Benjamini--Hochberg p-value"
"ABIDE","ASD","Inferior Temporal Gyrus, anterior division",0.5,"1e-69","1e-68"
"ABIDE","ASD","Inferior Temporal Gyrus, posterior division",0.47,"2e-62","2e-61"
"ABIDE","ASD","Inferior Temporal Gyrus, temporooccipital part",0.37,"9e-36","2e-35"
"ABIDE","ASD","Insular Cortex",0.43,"6e-50","3e-49"
"ABIDE","ASD","Intracalcarine Cortex",0.27,"5e-19","6e-19"
"ABIDE","ASD","Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)",0.27,"4e-19","5e-19"
"ABIDE","ASD","Lateral Occipital Cortex, inferior division",0.34,"4e-30","9e-30"
"ABIDE","ASD","Lateral Occipital Cortex, superior division",0.37,"3e-36","8e-36"
"ABIDE","ASD","Lingual Gyrus",0.31,"2e-26","3e-26"
"ABIDE","ASD","Middle Frontal Gyrus",0.4,"2e-42","6e-42"
"ABIDE","ASD","Middle Temporal Gyrus, anterior division",0.34,"6e-31","1e-30"
"ABIDE","ASD","Middle Temporal Gyrus, posterior division",0.32,"2e-27","3e-27"
"ABIDE","ASD","Middle Temporal Gyrus, temporooccipital part",0.28,"2e-20","2e-20"
"ABIDE","ASD","Occipital Fusiform Gyrus",0.33,"1e-29","2e-29"
"ABIDE","ASD","Occipital Pole",0.33,"3e-29","5e-29"
"ABIDE","ASD","Paracingulate Gyrus",0.45,"4e-56","2e-55"
"ABIDE","ASD","Parahippocampal Gyrus, anterior division",0.47,"7e-62","5e-61"
"ABIDE","ASD","Parahippocampal Gyrus, posterior division",0.33,"6e-29","1e-28"
"ABIDE","ASD","Parietal Operculum Cortex",0.31,"2e-25","2e-25"
"ABIDE","ASD","Planum Polare",0.26,"4e-18","4e-18"
"ABIDE","ASD","Planum Temporale",0.3,"1e-23","2e-23"
"ABIDE","ASD","Postcentral Gyrus",0.33,"5e-29","8e-29"
"ABIDE","ASD","Precentral Gyrus",0.33,"4e-29","7e-29"
"ABIDE","ASD","Precuneous Cortex",0.2,"3e-11","3e-11"
"ABIDE","ASD","Subcallosal Cortex",0.44,"1e-52","5e-52"
"ABIDE","ASD","Superior Frontal Gyrus",0.5,"8e-70","1e-68"
"ABIDE","ASD","Superior Parietal Lobule",0.31,"5e-25","7e-25"
"ABIDE","ASD","Superior Temporal Gyrus, anterior division",0.37,"3e-37","8e-37"
"ABIDE","ASD","Superior Temporal Gyrus, posterior division",0.33,"8e-30","2e-29"
"ABIDE","ASD","Supracalcarine Cortex",0.37,"3e-36","8e-36"
"ABIDE","ASD","Supramarginal Gyrus, anterior division",0.15,"4e-07","4e-07"
"ABIDE","ASD","Supramarginal Gyrus, posterior division",0.18,"2e-09","2e-09"
"ABIDE","ASD","Temporal Fusiform Cortex, anterior division",0.44,"2e-53","9e-53"
"ABIDE","ASD","Temporal Fusiform Cortex, posterior division",0.54,"4e-82","1e-80"
"ABIDE","ASD","Temporal Occipital Fusiform Cortex",0.36,"2e-34","5e-34"
"ABIDE","ASD","Temporal Pole",0.45,"4e-56","2e-55"
