"Disorder","Time-series feature","Balanced Accuracy","SD","p-value","Benjamini--Hochberg p-value"
"BP","AMI2",50.5,12.6,"5e-01","5e-01"
"BP","DFA",49.3,10.4,"6e-01","6e-01"
"BP","rs_range",48.9,12.9,"6e-01","6e-01"
"BP","ACF_first_min",48.3,10.8,"7e-01","7e-01"
"BP","mode_10",43.5,11.4,"9e-01","9e-01"
"ADHD","outlier_timing_neg",60.8,14.4,"1e-02","3e-01"
"ADHD","periodicity",58,13.7,"4e-02","5e-01"
"ADHD","outlier_timing_pos",55.4,13.6,"1e-01","9e-01"
"ADHD","mode_5",54.3,13.5,"2e-01","9e-01"
"ADHD","mean",52.4,12.9,"3e-01","9e-01"
"ADHD","stretch_decreasing",52.4,14.6,"3e-01","9e-01"
"ADHD","trev",52,12.9,"3e-01","9e-01"
"ADHD","ACF_first_min",51.5,12.7,"4e-01","9e-01"
"ADHD","transition_variance",51.5,12.7,"3e-01","9e-01"
"ADHD","high_fluctuation",51.4,14.8,"4e-01","9e-01"
"ADHD","mode_10",51,14.1,"4e-01","9e-01"
"ADHD","rs_range",50.6,12.5,"4e-01","9e-01"
"ADHD","AMI2",49.9,13.4,"5e-01","1e+00"
"ADHD","DFA",48.1,13.8,"7e-01","1e+00"
"ADHD","embedding_dist",47.1,14.7,"7e-01","1e+00"
"ADHD","fALFF",45.9,12.5,"8e-01","1e+00"
"ADHD","ACF_timescale",45.4,11.8,"9e-01","1e+00"
"ADHD","AMI_timescale",44.5,12.7,"9e-01","1e+00"
"ADHD","whiten_timescale",43.1,13,"9e-01","1e+00"
"ADHD","forecast_error",42.2,11.8,"9e-01","1e+00"
"ADHD","entropy_pairs",41.1,11.9,"1e+00","1e+00"
"ADHD","SD",40.9,12.5,"1e+00","1e+00"
"ADHD","stretch_high",40,13.3,"1e+00","1e+00"
"ADHD","centroid_freq",36.8,11.9,"1e+00","1e+00"
"ADHD","low_freq_power",34.5,12.4,"1e+00","1e+00"
"ASD","SD",59.5,4.4,"5e-08","1e-06"
"ASD","forecast_error",55.6,4.5,"9e-04","1e-02"
"ASD","ACF_timescale",54.5,4.5,"5e-03","3e-02"
"ASD","centroid_freq",54.5,5.1,"5e-03","3e-02"
"ASD","entropy_pairs",54.2,4.4,"1e-02","5e-02"
"ASD","ACF_first_min",53.6,4,"2e-02","9e-02"
"ASD","fALFF",53.4,4.4,"3e-02","1e-01"
"ASD","AMI_timescale",52.7,3.6,"7e-02","2e-01"
"ASD","stretch_decreasing",52.7,4.6,"5e-02","2e-01"
"ASD","trev",52.6,4.1,"7e-02","2e-01"
"ASD","embedding_dist",52.4,4.3,"8e-02","2e-01"
"ASD","periodicity",52.4,4.2,"8e-02","2e-01"
"ASD","transition_variance",52.4,4.4,"1e-01","2e-01"
"ASD","low_freq_power",52.3,4.7,"1e-01","2e-01"
"ASD","DFA",52.2,4.6,"1e-01","2e-01"
"ASD","AMI2",51.9,4.1,"1e-01","2e-01"
"ASD","whiten_timescale",51.9,3.9,"2e-01","2e-01"
"ASD","rs_range",51.6,4.6,"2e-01","3e-01"
"ASD","mode_10",51.5,3.8,"2e-01","3e-01"
"ASD","mode_5",51,4.5,"3e-01","4e-01"
"ASD","outlier_timing_pos",50.8,4.2,"3e-01","4e-01"
"ASD","outlier_timing_neg",50.6,4.2,"4e-01","4e-01"
"ASD","high_fluctuation",50.4,4.3,"4e-01","5e-01"
"ASD","mean",49.1,5.1,"7e-01","7e-01"
"ASD","stretch_high",48.8,4.7,"7e-01","7e-01"
