,index,Study,Disorder,Analysis_Type,group_var,Balanced_Accuracy_Across_Folds,Balanced_Accuracy_Across_Folds_SD,p_value,p_value_HolmBonferroni
296,297,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-superiortemporal,56.592424242424244,0.11850742447537418,8.586657428515298e-05,0.00403572899140219
298,299,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-temporalpole,57.92424242424242,0.12637492710170417,3.7058631496917943e-06,0.00021123419953243227
299,300,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-transversetemporal,56.24848484848485,0.125257962573411,0.00010177312782330748,0.0046815638798721445
300,301,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-bankssts,56.31287878787879,0.12292503607813325,0.00026568897757350276,0.011158937058087116
301,302,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-caudalanteriorcingulate,60.162878787878796,0.12655349302350843,1.1498370761250376e-08,7.703908410037752e-07
305,306,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-frontalpole,55.539393939393946,0.13576353688976228,0.0005899759385728065,0.022419085665766645
307,308,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-inferiorparietal,56.01893939393939,0.13985764386389912,0.00043743368301787076,0.017934781003732702
309,310,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-insula,62.55075757575758,0.10752886663042738,4.403676625534256e-13,3.390831001661377e-11
311,312,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-lateraloccipital,58.116666666666674,0.11998334643881339,1.3706569936397392e-06,7.949810563110487e-05
312,313,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-lateralorbitofrontal,56.64090909090908,0.1215975764043711,0.00012462519587028463,0.005608133814162808
314,315,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-medialorbitofrontal,57.893181818181816,0.13094560309261571,5.4331629238784615e-06,0.00028594292647703866
315,316,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-middletemporal,59.02878787878788,0.11678751904675412,9.999156205468802e-08,6.4994515335547215e-06
316,317,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-paracentral,58.98106060606061,0.10689792436262478,1.2681612502584921e-07,7.9894158766285e-06
317,318,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-parahippocampal,62.723484848484844,0.12630813573778912,7.904212394240784e-15,6.244327791450219e-13
318,319,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-parsopercularis,60.981818181818184,0.12524567133710468,1.1631283068908165e-10,8.607149470992042e-09
322,323,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-postcentral,59.10606060606061,0.13092365600196573,1.0814383589470763e-07,6.921205497261288e-06
324,325,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-precentral,59.55454545454546,0.11846604704290972,4.112101616058146e-08,2.7139870665983763e-06
326,327,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-rostralanteriorcingulate,57.32424242424242,0.1288376486054271,1.0561436156601974e-05,0.0005175103716734968
328,329,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-superiorfrontal,58.59015151515151,0.11237009491522444,9.076702288478611e-07,5.355254350202381e-05
330,331,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-superiortemporal,63.26590909090909,0.11601474400577086,2.720876755136995e-13,2.122283869006856e-11
332,333,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-temporalpole,58.00606060606061,0.11397184841823324,4.0692811736176195e-06,0.00022787974572258669
333,334,UCLA_CNP,BP,Univariate_Brain_Region,ctx-rh-transversetemporal,56.57651515151515,0.11624501412946318,0.00013062531965165184,0.005747514064672681
388,389,UCLA_CNP,SCZ,Univariate_Brain_Region,Left-Accumbens-area,55.79621212121212,0.1514076177556316,0.0007657824436153496,0.01837877864676839
389,390,UCLA_CNP,SCZ,Univariate_Brain_Region,Left-Amygdala,55.73712121212121,0.11998174400952523,0.000797208073823193,0.01837877864676839
393,394,UCLA_CNP,SCZ,Univariate_Brain_Region,Left-Putamen,59.23560606060606,0.12781883466415705,8.842888055397194e-08,3.7140129832668214e-06
394,395,UCLA_CNP,SCZ,Univariate_Brain_Region,Left-Thalamus-Proper,60.342424242424244,0.12850422858904348,6.744170016252035e-10,3.84417690926366e-08
395,396,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Accumbens-area,56.733333333333334,0.13137784835966687,8.27844472160866e-05,0.0024007489692665115
396,397,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Amygdala,65.16287878787878,0.1238817945726376,3.978689883199358e-18,2.864656715903538e-16
397,398,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Caudate,60.818939393939395,0.13670096930780296,2.949433374335365e-09,1.5631996883977435e-07
398,399,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Hippocampus,59.714393939393936,0.1361349754025722,2.4875696256492432e-08,1.1691577240551443e-06
399,400,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Pallidum,55.489393939393935,0.12266086036151083,0.0009056875226472961,0.019019437975593217
401,402,UCLA_CNP,SCZ,Univariate_Brain_Region,Right-Thalamus-Proper,58.02045454545455,0.1327072746153154,3.444406283609419e-06,0.00012399862620993907
402,403,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-bankssts,66.95227272727273,0.11075522430514478,1.9300015843077391e-22,1.5054012357600364e-20
403,404,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-caudalanteriorcingulate,66.71742424242424,0.12273865874507253,1.2316896186626947e-20,9.36084110183648e-19
404,405,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-caudalmiddlefrontal,60.09015151515151,0.12232025676005776,9.062797048275357e-09,4.440770553654925e-07
405,406,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-cuneus,69.17954545454546,0.11477356977812829,1.0597149464207584e-27,8.477719571366068e-26
407,408,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-frontalpole,59.26893939393939,0.12096778514006667,7.904422929501464e-08,3.3989018596856294e-06
408,409,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-fusiform,57.04924242424242,0.13344308860071494,2.3051725171899783e-05,0.0007376552055007931
409,410,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-inferiorparietal,62.505303030303025,0.1270261695177234,5.566634812672418e-13,3.6739789763637957e-11
410,411,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-inferiortemporal,59.4,0.1214190669126772,5.1460072481567594e-08,2.264243189188974e-06
411,412,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-insula,64.19318181818183,0.121582040704252,1.729439126436592e-15,1.1933129972412484e-13
412,413,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-isthmuscingulate,58.59469696969697,0.1278164888986789,1.3671749053566321e-06,5.195264640355202e-05
413,414,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-lateraloccipital,63.637121212121215,0.1286270126875703,2.445805171915793e-15,1.6631475169027393e-13
414,415,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-lateralorbitofrontal,55.58409090909091,0.10805158752763734,0.0008288015987462412,0.01837877864676839
415,416,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-lingual,65.26136363636364,0.12322519017539488,1.7511574939479476e-18,1.2783449705820018e-16
416,417,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-medialorbitofrontal,56.68257575757576,0.12930343408707032,9.262654616737278e-05,0.002593543292686438
418,419,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-paracentral,59.32424242424242,0.1358783699721641,1.1195889224514761e-07,4.590314582051052e-06
423,424,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-pericalcarine,72.37045454545455,0.127680573252252,1.1306342571795798e-34,9.271200908872553e-33
424,425,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-postcentral,58.384090909090915,0.12591504292572495,1.4643855355149753e-06,5.4182264814054085e-05
425,426,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-posteriorcingulate,59.79242424242425,0.13424002921276443,1.3186918175718837e-08,6.329720724345042e-07
426,427,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-precentral,57.39090909090909,0.12401513585532202,1.163435737902214e-05,0.00039556815088675275
427,428,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-precuneus,66.69166666666668,0.1153522153778735,2.205516072223651e-21,1.6982473756122113e-19
430,431,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-superiorfrontal,57.46818181818182,0.13076172370657166,1.37935116186772e-05,0.00045518588341634755
431,432,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-superiorparietal,55.0780303030303,0.13826378465749528,0.0021221001402541547,0.03819780252457478
432,433,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-superiortemporal,62.21969696969697,0.1286983384875147,7.4417503170541e-12,4.613885196573542e-10
433,434,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-supramarginal,60.43409090909091,0.1272480761159744,8.590480767499763e-09,4.295240383749882e-07
434,435,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-temporalpole,61.265151515151516,0.12411630757768019,3.0736306778685607e-11,1.874914713499822e-09
435,436,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-lh-transversetemporal,56.21515151515152,0.1317314679127252,0.00018617081822669776,0.004840441273894142
436,437,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-bankssts,57.15681818181818,0.1288631397067393,2.457984358320226e-05,0.0007619751510792701
437,438,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-caudalanteriorcingulate,60.89545454545454,0.10989585966380161,4.1249493265343036e-10,2.474969595920582e-08
439,440,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-cuneus,70.02727272727273,0.11848240207839698,2.0170272257225026e-29,1.633792052835227e-27
440,441,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-entorhinal,56.33939393939394,0.12210638136712769,0.00021494173251216062,0.005373543312804015
441,442,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-frontalpole,55.13409090909091,0.11987157853106532,0.0017221279483967996,0.03444255896793599
443,444,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-inferiorparietal,55.24545454545454,0.13667303776269238,0.0017946674700301418,0.03444255896793599
445,446,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-insula,57.510606060606065,0.11636714858775866,6.28361564283098e-06,0.0002199265474990843
446,447,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-isthmuscingulate,63.54772727272727,0.12201534331138371,1.4491028480486004e-15,1.0143719936340203e-13
447,448,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-lateraloccipital,68.28484848484848,0.11692330821163788,1.8127842134859658e-24,1.432099528653913e-22
448,449,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-lateralorbitofrontal,62.06212121212121,0.1215748503994931,5.1684724884183214e-12,3.3078223925877257e-10
449,450,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-lingual,66.52272727272728,0.12351582929206094,1.2421653227511456e-20,9.36084110183648e-19
450,451,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-medialorbitofrontal,59.53787878787878,0.13162354265907802,3.38236465793958e-08,1.522064096072811e-06
451,452,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-middletemporal,61.98787878787879,0.12742382113866899,6.1317074750200746e-12,3.862975709262647e-10
452,453,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-paracentral,59.11666666666666,0.12902511594514013,1.4616783528320528e-07,5.846713411328212e-06
453,454,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-parahippocampal,59.4780303030303,0.12703733383382262,2.9168599536527397e-08,1.3417555786802602e-06
454,455,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-parsopercularis,60.24015151515152,0.11754062554959445,3.975684539526626e-09,2.0275991151585793e-07
455,456,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-parsorbitalis,56.46969696969697,0.13168336237318432,0.00011092450721590714,0.002994961694829493
456,457,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-parstriangularis,58.70909090909091,0.12441797231646833,9.451677776207625e-07,3.686154332720974e-05
457,458,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-pericalcarine,66.35606060606061,0.12214296221855378,4.7061014469086916e-20,3.482515070712432e-18
458,459,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-postcentral,63.83712121212122,0.1278828267955766,4.083233587051405e-15,2.7357665033244413e-13
459,460,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-posteriorcingulate,60.28030303030303,0.13346603001849355,3.863832867436736e-09,2.0091930910671028e-07
460,461,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-precentral,60.56818181818182,0.12496961907376329,1.1775359917398687e-09,6.476447954569278e-08
461,462,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-precuneus,60.32272727272727,0.12817892095592517,2.5174393953535075e-09,1.359417273490894e-07
463,464,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-rostralmiddlefrontal,56.95530303030303,0.12147787551883324,4.8328496267204755e-05,0.0014498548880161426
464,465,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-superiorfrontal,60.46363636363636,0.11554008273248846,5.684617679253496e-10,3.2970782539670275e-08
465,466,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-superiorparietal,60.90757575757576,0.12264784186013082,7.763099026548515e-10,4.347335454867169e-08
466,467,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-superiortemporal,65.13863636363637,0.12125778978793043,7.961221972051488e-18,5.652467600156556e-16
467,468,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-supramarginal,60.94318181818183,0.1306077586111824,4.6143982586551796e-10,2.722494972606556e-08
469,470,UCLA_CNP,SCZ,Univariate_Brain_Region,ctx-rh-transversetemporal,61.96060606060606,0.13216108922701855,2.2737289790131343e-12,1.4779238363585374e-10
