"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"ctx-rh-inferiorparietal","AROMA+2P",47.86,"6.57e-01","7.34e-01","i: ROI-wise"
"ctx-rh-fusiform","AROMA+2P",47.84,"6.57e-01","7.34e-01","i: ROI-wise"
"ctx-lh-parstriangularis","AROMA+2P",47.5,"7.82e-01","8.18e-01","i: ROI-wise"
"ctx-lh-temporalpole","AROMA+2P",47.47,"7.82e-01","8.18e-01","i: ROI-wise"
"ctx-lh-posteriorcingulate","AROMA+2P",47.25,"7.82e-01","8.18e-01","i: ROI-wise"
"Left-Pallidum","AROMA+2P",47.17,"7.82e-01","8.18e-01","i: ROI-wise"
"ctx-rh-pericalcarine","AROMA+2P",46.38,"7.82e-01","8.18e-01","i: ROI-wise"
"ctx-rh-superiorfrontal","AROMA+2P",46.25,"8.76e-01","8.84e-01","i: ROI-wise"
"ctx-rh-superiortemporal","AROMA+2P",45.83,"8.76e-01","8.84e-01","i: ROI-wise"
"ctx-rh-postcentral","AROMA+2P",45.69,"8.76e-01","8.84e-01","i: ROI-wise"
"ctx-lh-superiorparietal","AROMA+2P",45.44,"8.76e-01","8.84e-01","i: ROI-wise"
"ctx-lh-lateraloccipital","AROMA+2P",45.43,"8.76e-01","8.84e-01","i: ROI-wise"
"ctx-rh-parsorbitalis","AROMA+2P",42.92,"9.73e-01","9.73e-01","i: ROI-wise"
